iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
74,314.66175092664025,-7.616547247625498,Invalid,No DR,0.0
75,313.3166215267705,-7.682061763670272,Invalid,No DR,0.0
80,-13.298279388279255,0.41727505998602815,T,No DR,0.0625
90,-5.03738654424135,0.3110940092111131,T,No DR,0.1667
100,-5.03738654424135,0.3110940092111131,T,No DR,0.2500
110,-5.03738654424135,0.3110940092111131,T,No DR,0.3182
120,-5.03738654424135,0.3110940092111131,T,No DR,0.3750
130,-5.03738654424135,0.3110940092111131,T,No DR,0.4231
140,-5.03738654424135,0.3110940092111131,T,No DR,0.4643
150,-5.03738654424135,0.3110940092111131,T,No DR,0.5000
160,-5.03738654424135,0.3110940092111131,T,No DR,0.5312
170,-5.03738654424135,0.3110940092111131,T,No DR,0.5588
180,-5.03738654424135,0.3110940092111131,T,No DR,0.5833
190,-5.03738654424135,0.3110940092111131,T,No DR,0.6053
200,-5.03738654424135,0.3110940092111131,T,No DR,0.6250
